,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
180,1.4181910037994385,0.01455736264255026,0.0419926643371582,0.0032715966725046894,156,0.007600000000000007,11,9,"{'n_estimators': 156, 'min_samples_split': 0.007600000000000007, 'min_samples_leaf': 11, 'max_depth': 9}",0.722117202268431,0.722117202268431,0.7026515151515151,0.7443181818181818,0.7159090909090909,0.7214226384831299,0.013475348012521418,101,0.7681022243256034,0.7723615712257453,0.7653736991485336,0.7634815515610217,0.7701040681173131,0.7678846228756434,0.0031845919382640833
241,1.7994748115539552,0.03321251522611445,0.0636688232421875,0.013958029700647658,203,0.011600000000000017,5,8,"{'n_estimators': 203, 'min_samples_split': 0.011600000000000017, 'min_samples_leaf': 5, 'max_depth': 8}",0.7107750472589792,0.7334593572778828,0.7007575757575758,0.7462121212121212,0.7159090909090909,0.7214226384831299,0.01631083245266043,101,0.7723615712257453,0.7737813535257927,0.7682119205298014,0.7667928098391674,0.772469252601703,0.770723381544442,0.0027143969561433346
219,2.0440653800964355,0.17170983812074847,0.07237601280212402,0.002930109098796842,216,0.011000000000000017,13,6,"{'n_estimators': 216, 'min_samples_split': 0.011000000000000017, 'min_samples_leaf': 13, 'max_depth': 6}",0.720226843100189,0.7296786389413988,0.7026515151515151,0.7367424242424242,0.7178030303030303,0.7214204903477115,0.011573624473873199,104,0.7482252721249408,0.751538097491718,0.7478713339640491,0.7450331125827815,0.749763481551561,0.7484862595430102,0.002159420420079763
46,2.360593557357788,0.0489635339977523,0.0797396183013916,0.014995939596765004,241,0.010600000000000016,8,8,"{'n_estimators': 241, 'min_samples_split': 0.010600000000000016, 'min_samples_leaf': 8, 'max_depth': 8}",0.720226843100189,0.7296786389413988,0.7026515151515151,0.7481060606060606,0.7064393939393939,0.7214204903477115,0.016483016419763477,104,0.7685754850922859,0.7709417889256981,0.7705771050141911,0.7634815515610217,0.7701040681173131,0.7687359997421019,0.00274815488155599
106,1.4752566814422607,0.02722533553963597,0.045131683349609375,0.003081777574183578,182,0.01670000000000003,7,7,"{'n_estimators': 182, 'min_samples_split': 0.01670000000000003, 'min_samples_leaf': 7, 'max_depth': 7}",0.7126654064272212,0.722117202268431,0.7083333333333334,0.75,0.7121212121212122,0.7210474308300396,0.015172209207328743,106,0.7595835305253195,0.7628963558920966,0.7587511825922422,0.7549668874172185,0.7559129612109745,0.7584221835275702,0.0028181715144945047
116,1.7776281833648682,0.037606378461796416,0.060638046264648436,0.006048955478011654,181,0.017600000000000032,5,9,"{'n_estimators': 181, 'min_samples_split': 0.017600000000000032, 'min_samples_leaf': 5, 'max_depth': 9}",0.7088846880907372,0.7277882797731569,0.7064393939393939,0.7481060606060606,0.7140151515151515,0.7210467147849,0.015416799229214928,107,0.767628963558921,0.7728348319924279,0.7672658467360454,0.7691579943235572,0.7734153263954588,0.770060592601282,0.002588001195171291
89,1.3087739944458008,0.021713840865639985,0.04202537536621094,0.004402636597012605,150,0.010700000000000015,13,9,"{'n_estimators': 150, 'min_samples_split': 0.010700000000000015, 'min_samples_leaf': 13, 'max_depth': 9}",0.718336483931947,0.718336483931947,0.7026515151515151,0.7462121212121212,0.7196969696969697,0.7210467147849,0.014058403640202522,107,0.7666824420255561,0.7728348319924279,0.7672658467360454,0.761116367076632,0.7696310312204352,0.7675061038102193,0.0038594180457760903
47,2.2043224334716798,0.06205114462222072,0.07171454429626464,0.004719803502349909,238,0.005,5,7,"{'n_estimators': 238, 'min_samples_split': 0.005, 'min_samples_leaf': 5, 'max_depth': 7}",0.718336483931947,0.724007561436673,0.6988636363636364,0.7462121212121212,0.7178030303030303,0.7210445666494816,0.015179065050313651,109,0.7685754850922859,0.7718883104590629,0.7653736991485336,0.7644276253547777,0.7649006622516556,0.7670331564612631,0.0028298911788995702
28,2.295406627655029,0.05938919263203715,0.07143645286560059,0.009966158066518495,234,0.019200000000000036,11,9,"{'n_estimators': 234, 'min_samples_split': 0.019200000000000036, 'min_samples_leaf': 11, 'max_depth': 9}",0.7145557655954632,0.7277882797731569,0.7045454545454546,0.7462121212121212,0.7121212121212122,0.7210445666494815,0.014648105438826825,110,0.7610033128253668,0.7643161381921438,0.7667928098391674,0.7573320719016083,0.7639545884578998,0.7626797842432371,0.003244328691373514
148,1.5577758312225343,0.09025574361061181,0.047604703903198244,0.009461848232918745,159,0.01970000000000004,13,9,"{'n_estimators': 159, 'min_samples_split': 0.01970000000000004, 'min_samples_leaf': 13, 'max_depth': 9}",0.718336483931947,0.7277882797731569,0.7026515151515151,0.740530303030303,0.7159090909090909,0.7210431345592025,0.01262681864314903,111,0.7586370089919545,0.7671557027922385,0.7630085146641438,0.761116367076632,0.7578051087984863,0.7615445404646911,0.003354065712658649
